=== SIMULATION STATUS LOG ===
Started at: 2025-08-05 16:37:20
==================================================

Cell ID | Oxygen | Glucose | Lactate | TGFA | Oxygen_supply | Glucose_supply | MCT1_stimulus | EGFR_stimulus | Apoptosis | Proliferation | Necrosis | Growth_Arrest | mitoATP | glycoATP | Final Phenotype | Step
6c5b6d7f | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | True | True | True | Growth_Arrest | 0
4b99ae4b | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
9124ebe4 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
60c2607a | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
a40560ce | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
8143a5e5 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
9ff85c04 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
358331ae | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
318d3855 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
b15ca236 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
8718d6ba | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | True | False | False | False | True | Proliferation | 0
166f6dad | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
8ea6a8e0 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
9bbc1fa5 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | False | False | Growth_Arrest | 0
ba283f9b | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | True | True | True | Growth_Arrest | 0
3c25facf | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | True | True | True | Growth_Arrest | 0
a1ff6279 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
b197d900 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
4779edf0 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
fc11c5ab | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
d32f7a04 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | True | True | Growth_Arrest | 0
5aa0131c | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | True | False | False | True | True | True | Growth_Arrest | 0
b9aec114 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
e3497be0 | 0.07 | 5.0 | 1.0 | 0.0 | True | True | False | False | False | False | False | False | False | True | Growth_Arrest | 0
