# origin=center, cell_size_um=20.0, domain_size_um=1500.0, description="Same 1000-cell spheroid positions as initial_cells_1000_center_1500.csv with every cell Quiescent / glycoATP ON / mitoATP OFF (stability search start state; Growth_Arrest would halve consumption in the metabolism node)"
x,y,phenotype,gene_Proliferation,gene_glycoATP,gene_mitoATP
-13,6,Quiescent,false,true,false
14,-3,Quiescent,false,true,false
-14,3,Quiescent,false,true,false
14,3,Quiescent,false,true,false
-14,-3,Quiescent,false,true,false
13,6,Quiescent,false,true,false
-13,-6,Quiescent,false,true,false
6,13,Quiescent,false,true,false
-6,-13,Quiescent,false,true,false
3,14,Quiescent,false,true,false
-3,-14,Quiescent,false,true,false
8,-12,Quiescent,false,true,false
-8,12,Quiescent,false,true,false
12,-8,Quiescent,false,true,false
-12,8,Quiescent,false,true,false
12,8,Quiescent,false,true,false
-12,-8,Quiescent,false,true,false
8,12,Quiescent,false,true,false
-8,-12,Quiescent,false,true,false
4,-14,Quiescent,false,true,false
-4,14,Quiescent,false,true,false
14,-4,Quiescent,false,true,false
-14,4,Quiescent,false,true,false
14,4,Quiescent,false,true,false
-14,-4,Quiescent,false,true,false
4,14,Quiescent,false,true,false
-4,-14,Quiescent,false,true,false
7,-13,Quiescent,false,true,false
-7,13,Quiescent,false,true,false
13,-7,Quiescent,false,true,false
-13,7,Quiescent,false,true,false
13,7,Quiescent,false,true,false
-13,-7,Quiescent,false,true,false
7,13,Quiescent,false,true,false
-7,-13,Quiescent,false,true,false
5,-14,Quiescent,false,true,false
-5,14,Quiescent,false,true,false
10,-11,Quiescent,false,true,false
-10,11,Quiescent,false,true,false
11,-10,Quiescent,false,true,false
-11,10,Quiescent,false,true,false
14,-5,Quiescent,false,true,false
-14,5,Quiescent,false,true,false
14,5,Quiescent,false,true,false
-14,-5,Quiescent,false,true,false
11,10,Quiescent,false,true,false
-11,-10,Quiescent,false,true,false
10,11,Quiescent,false,true,false
-10,-11,Quiescent,false,true,false
5,14,Quiescent,false,true,false
-5,-14,Quiescent,false,true,false
9,-12,Quiescent,false,true,false
-9,12,Quiescent,false,true,false
12,-9,Quiescent,false,true,false
-12,9,Quiescent,false,true,false
15,0,Quiescent,false,true,false
-15,0,Quiescent,false,true,false
12,9,Quiescent,false,true,false
-12,-9,Quiescent,false,true,false
9,12,Quiescent,false,true,false
-9,-12,Quiescent,false,true,false
0,15,Quiescent,false,true,false
0,-15,Quiescent,false,true,false
1,-15,Quiescent,false,true,false
-1,15,Quiescent,false,true,false
15,-1,Quiescent,false,true,false
-15,1,Quiescent,false,true,false
15,1,Quiescent,false,true,false
-15,-1,Quiescent,false,true,false
1,15,Quiescent,false,true,false
-1,-15,Quiescent,false,true,false
2,-15,Quiescent,false,true,false
-2,15,Quiescent,false,true,false
15,-2,Quiescent,false,true,false
-15,2,Quiescent,false,true,false
15,2,Quiescent,false,true,false
-15,-2,Quiescent,false,true,false
2,15,Quiescent,false,true,false
-2,-15,Quiescent,false,true,false
6,-14,Quiescent,false,true,false
-6,14,Quiescent,false,true,false
14,-6,Quiescent,false,true,false
-14,6,Quiescent,false,true,false
14,6,Quiescent,false,true,false
-14,-6,Quiescent,false,true,false
6,14,Quiescent,false,true,false
-6,-14,Quiescent,false,true,false
8,-13,Quiescent,false,true,false
-8,13,Quiescent,false,true,false
13,-8,Quiescent,false,true,false
-13,8,Quiescent,false,true,false
13,8,Quiescent,false,true,false
-13,-8,Quiescent,false,true,false
8,13,Quiescent,false,true,false
-8,-13,Quiescent,false,true,false
3,-15,Quiescent,false,true,false
-3,15,Quiescent,false,true,false
15,-3,Quiescent,false,true,false
-15,3,Quiescent,false,true,false
15,3,Quiescent,false,true,false
-15,-3,Quiescent,false,true,false
3,15,Quiescent,false,true,false
-3,-15,Quiescent,false,true,false
4,-15,Quiescent,false,true,false
-4,15,Quiescent,false,true,false
15,-4,Quiescent,false,true,false
-15,4,Quiescent,false,true,false
15,4,Quiescent,false,true,false
-15,-4,Quiescent,false,true,false
4,15,Quiescent,false,true,false
-4,-15,Quiescent,false,true,false
11,-11,Quiescent,false,true,false
